Data,Produto,Quantidade Vendida,Preço Unitário,Total de Vendas,Lucro,Despesas,Promoções,Categoria
01/01/2023,Passeio Pão de Açúcar (Carro),1,911.08,911.08,526.74,384.34,Não,Passeios Locais
01/01/2023,City Tour Completo (Van),3,1063.69,3191.07,2306.95,884.12,Não,City Tour
01/01/2023,Tour Arraial do Cabo (Van),3,362.78,1088.34,755.49,332.85,Sim,Viagens Longas
01/01/2023,Passeio Cristo Redentor (Carro),2,560.76,1121.52,756.5,365.02,Não,Passeios Locais
01/01/2023,City Tour Completo (Van),2,638.69,1277.38,830.02,447.36,Sim,City Tour
02/01/2023,Passeio Cristo Redentor (Carro),2,946.37,1892.74,1086.55,806.19,Sim,Passeios Locais
02/01/2023,Translado Aeroporto Santos Dumont,2,433.83,867.66,594.69,272.97,Sim,Translados
02/01/2023,Translado Aeroporto Galeão,1,300.22,300.22,203.6,96.62,Não,Translados
02/01/2023,City Tour Completo (Van),3,1119.49,3358.47,1971.7,1386.77,Não,City Tour
02/01/2023,Aluguel Van Corporativa,3,1427.64,4282.92,3071.01,1211.91,Não,Serviço Privado
03/01/2023,Translado Aeroporto Santos Dumont,3,962.27,2886.81,1840.66,1046.15,Não,Translados
03/01/2023,City Tour Completo (Van),3,444.42,1333.26,902.3,430.96,Sim,City Tour
03/01/2023,Passeio Pão de Açúcar (Carro),1,1455.31,1455.31,855.68,599.63,Sim,Passeios Locais
03/01/2023,Aluguel Van Corporativa,2,401.22,802.44,511.36,291.08,Não,Serviço Privado
03/01/2023,Tour Búzios (Van),1,1006.01,1006.01,601.76,404.25,Sim,Viagens Longas
03/01/2023,Aluguel Van Corporativa,3,871.81,2615.43,1749.68,865.75,Não,Serviço Privado
03/01/2023,Tour Búzios (Van),2,1040.99,2081.98,1556.12,525.86,Sim,Viagens Longas
04/01/2023,City Tour Completo (Van),1,842.79,842.79,469.8,372.99,Não,City Tour
04/01/2023,Tour Petrópolis (Carro),1,164.26,164.26,109.55,54.71,Não,Viagens Longas
04/01/2023,Translado Aeroporto Galeão,2,473.82,947.64,569.67,377.97,Sim,Translados
04/01/2023,Translado Aeroporto Galeão,3,1464.74,4394.22,2578.69,1815.53,Não,Translados
04/01/2023,Tour Búzios (Van),2,474.95,949.9,558.0,391.9,Sim,Viagens Longas
04/01/2023,Aluguel Van Corporativa,3,1496.8,4490.4,3282.53,1207.87,Não,Serviço Privado
05/01/2023,Tour Arraial do Cabo (Van),3,611.92,1835.76,1194.09,641.67,Não,Viagens Longas
05/01/2023,Translado Aeroporto Santos Dumont,3,240.71,722.13,437.84,284.29,Não,Translados
05/01/2023,Tour Búzios (Van),3,357.08,1071.24,714.72,356.52,Sim,Viagens Longas
05/01/2023,Aluguel Van Corporativa,1,193.72,193.72,128.79,64.93,Não,Serviço Privado
06/01/2023,Tour Búzios (Van),1,485.3,485.3,343.12,142.18,Não,Viagens Longas
06/01/2023,Translado Aeroporto Santos Dumont,1,494.74,494.74,325.32,169.42,Não,Translados
06/01/2023,Aluguel Carro Executivo,2,1096.75,2193.5,1554.38,639.12,Sim,Serviço Privado
07/01/2023,Translado Aeroporto Galeão,3,869.69,2609.07,1641.34,967.73,Não,Translados
07/01/2023,Aluguel Van Corporativa,3,321.0,963.0,530.79,432.21,Sim,Serviço Privado
07/01/2023,City Tour Completo (Van),2,1114.94,2229.88,1248.26,981.62,Não,City Tour
08/01/2023,Tour Arraial do Cabo (Van),2,324.53,649.06,436.31,212.75,Não,Viagens Longas
08/01/2023,Tour Arraial do Cabo (Van),1,319.64,319.64,226.15,93.49,Não,Viagens Longas
08/01/2023,Tour Arraial do Cabo (Van),3,1452.09,4356.27,2782.76,1573.51,Sim,Viagens Longas
08/01/2023,Passeio Cristo Redentor (Carro),1,739.61,739.61,554.2,185.41,Não,Passeios Locais
08/01/2023,City Tour Completo (Van),3,164.29,492.87,350.61,142.26,Não,City Tour
09/01/2023,Tour Arraial do Cabo (Van),3,944.24,2832.72,1713.41,1119.31,Não,Viagens Longas
09/01/2023,Translado Aeroporto Galeão,1,364.47,364.47,226.03,138.44,Sim,Translados
09/01/2023,Translado Aeroporto Santos Dumont,3,202.84,608.52,447.47,161.05,Sim,Translados
